Rank,Symbol,Portfolio,Trend_score,Final_score,Final_score_category,Old_Final_score,Old_Final_score_category,RS_agreement,RSI_14,RSI_state,EMA_score,Below_EMA_200,ST_state,Momentum_band,ROC_composite,Volatility_band,Vol_trend,Stage,Final_description
38,MTARTECH,N,60.0,52.04,C,60.62,C,Lags both,48.4489,Neutral,86.24,No,Uptrend,Bearish,-3.82,,Falling,"2 - Advancing (late, conf 84, 238d)","2 - Advancing, trend 60 but ADX shows no trend, this is a range - wait for alignment"
39,DATAPATTNS,Y,57.48,51.49,C,62.0,C,Lags both,44.0527,Neutral,81.42,No,Downtrend,Bearish,-5.2,,Falling,"2 - Advancing (late, conf 84, 128d)","2 - Advancing, but trend score 57 does not confirm long - no directional edge"
40,APOLLO,Y,52.59,51.18,C,51.65,C,Lags both,45.1389,Neutral,82.51,No,Uptrend,Neutral,-2.03,,Falling,"2 - Advancing (late, conf 84, 68d)","2 - Advancing, but trend score 53 does not confirm long - no directional edge"
41,HBLENGINE,N,56.82,51.13,C,32.12,E,Lags both,56.8951,Neutral,42.57,Yes,Uptrend,Neutral,5.01,Low,Rising,"4 - Declining (mid, conf 74, 38d)","4 - Declining, but trend score 57 does not confirm short - no directional edge"
42,CGPOWER,N,56.53,51.06,C,55.62,C,Lags both,39.4367,Neutral,75.8,No,Downtrend,Bearish,-4.41,,Falling,"2 - Advancing (late, conf 84, 83d)","2 - Advancing, but trend score 57 does not confirm long - no directional edge"
43,GVT&D,N,56.9,50.54,C,45.18,D,Lags both,44.236,Neutral,69.69,No,Uptrend,Bearish,-2.39,,Rising,"2 - Advancing (late, conf 74, 316d)","2 - Advancing, but trend score 57 does not confirm long - no directional edge"
44,TRENT,Y,19.8,50.0,C,50.0,C,Lags both,29.1247,Neutral,6.03,Yes,Downtrend,Bearish,-4.27,,Falling,"2 - Advancing (early, conf 20, 8d)",2 - Advancing but stage confidence only 20 - regime not established
45,BORORENEW,N,1.35,50.0,C,46.56,D,Lags both,23.4114,Oversold,3.86,Yes,Downtrend,Strong Bearish,-10.37,,Falling,"2 - Advancing (mid, conf 20, 38d)",2 - Advancing but stage confidence only 20 - regime not established
46,POLYCAB,Y,27.92,50.0,C,41.47,D,Lags both,22.6379,Oversold,22.64,Yes,Downtrend,Strong Bearish,-6.86,,Rising,"2 - Advancing (late, conf 40, 93d)",2 - Advancing but stage confidence only 40 - regime not established
47,PERSISTENT,N,73.98,50.0,C,50.0,C,Leads both,50.1666,Neutral,64.66,No,Uptrend,Neutral,-1.95,,Falling,"3 - Topping (mid, conf 40, 23d)",3 - Topping but stage confidence only 40 - regime not established
48,TARIL,N,20.47,50.0,C,50.0,C,Lags both,26.3187,Oversold,3.19,Yes,Downtrend,Strong Bearish,-8.65,,Rising,"3 - Topping (early, conf 20, 8d)",3 - Topping but stage confidence only 20 - regime not established
49,VINCOFE,Y,90.72,50.0,C,50.0,C,Leads both,44.2839,Neutral,83.29,No,Uptrend,Neutral,-5.6,,Rising,"3 - Topping (late, conf 20, 63d)",3 - Topping but stage confidence only 20 - regime not established
50,ELECON,N,12.05,50.0,C,38.0,D,Lags both,41.8113,Neutral,6.31,Yes,Downtrend,Bearish,-2.57,,Rising,"3 - Topping (early, conf 20, 3d)",3 - Topping but stage confidence only 20 - regime not established
