symbol,kind,yf_ticker,last_date,rows,action,updated_at
KAYNES,equity,KAYNES.NS,2026-07-24,910,created,2026-07-26 18:51:34.081152
KDDL,equity,KDDL.NS,2026-07-24,1236,created,2026-07-26 18:51:35.397118
KLBRENG-B,equity,KLBRENG-B.NS,2026-07-24,67,created,2026-07-26 18:51:36.583982
KMEW,equity,KMEW.NS,2026-07-24,407,created,2026-07-26 18:51:37.783340
KPIGREEN,equity,KPIGREEN.NS,2026-07-24,1238,created,2026-07-26 18:51:39.041960
KRISHNADEF,equity,KRISHNADEF.NS,2026-07-24,1053,created,2026-07-26 18:51:40.288381
KRN,equity,KRN.NS,2026-07-24,451,created,2026-07-26 18:51:41.558777
KSHINTL,equity,KSHINTL.NS,2026-07-24,147,created,2026-07-26 18:51:42.735312
LLOYDSME,equity,LLOYDSME.NS,2026-07-24,749,created,2026-07-26 18:51:44.029903
LUMAXTECH,equity,LUMAXTECH.NS,2026-07-24,1237,created,2026-07-26 18:51:45.313753
MANORAMA,equity,MANORAMA.NS,2026-07-24,1006,created,2026-07-26 18:51:46.555958
MTARTECH,equity,MTARTECH.NS,2026-07-24,1238,created,2026-07-26 18:51:47.800627
MCX,equity,MCX.NS,2026-07-24,1238,created,2026-07-26 18:51:49.077509
MUTHOOTFIN,equity,MUTHOOTFIN.NS,2026-07-24,1238,created,2026-07-26 18:51:50.340483
NETWEB,equity,NETWEB.NS,2026-07-24,741,created,2026-07-26 18:51:51.574998
NLCINDIA,equity,NLCINDIA.NS,2026-07-24,1238,created,2026-07-26 18:51:52.889203
NUVAMA,equity,NUVAMA.NS,2026-07-24,700,created,2026-07-26 18:51:54.113800
OMNI,equity,OMNI.NS,2026-07-24,98,created,2026-07-26 18:51:55.289917
PARAS,equity,PARAS.NS,2026-07-24,1192,created,2026-07-26 18:51:56.529993
PERSISTENT,equity,PERSISTENT.NS,2026-07-24,1238,created,2026-07-26 18:51:57.810460
PGEL,equity,PGEL.NS,2026-07-24,1238,created,2026-07-26 18:51:59.086522
POLYCAB,equity,POLYCAB.NS,2026-07-24,1238,created,2026-07-26 18:52:00.346988
QPOWER,equity,QPOWER.NS,2026-07-24,351,created,2026-07-26 18:52:01.617585
RACLGEAR,equity,RACLGEAR.NS,2026-07-24,405,created,2026-07-26 18:52:02.907892
RATEGAIN,equity,RATEGAIN.NS,2026-07-24,1139,created,2026-07-26 18:52:04.150646
ROSSTECH,equity,ROSSTECH.NS,2026-07-24,404,created,2026-07-26 18:52:05.339784
SANSERA,equity,SANSERA.NS,2026-07-24,1197,created,2026-07-26 18:52:06.585696
SEDEMAC,equity,SEDEMAC.NS,2026-07-24,94,created,2026-07-26 18:52:07.785103
SGMART,equity,SGMART.NS,2026-07-24,215,created,2026-07-26 18:52:08.973173
SHILCTECH,equity,SHILCTECH.NS,2026-07-24,168,created,2026-07-26 18:52:10.169961
SBCL,equity,SBCL.NS,2026-07-24,1237,created,2026-07-26 18:52:11.428065
SJS,equity,SJS.NS,2026-07-24,1162,created,2026-07-26 18:52:12.671177
SKIPPER,equity,SKIPPER.NS,2026-07-24,1237,created,2026-07-26 18:52:13.931193
SKYGOLD,equity,SKYGOLD.NS,2026-07-24,877,created,2026-07-26 18:52:15.173767
SONACOMS,equity,SONACOMS.NS,2026-07-24,1238,created,2026-07-26 18:52:16.419433
STLTECH,equity,STLTECH.NS,2026-07-24,1238,created,2026-07-26 18:52:17.707146
SYRMA,equity,SYRMA.NS,2026-07-24,968,created,2026-07-26 18:52:19.031780
TARIL,equity,TARIL.NS,2026-07-24,1238,created,2026-07-26 18:52:20.318555
TAC,equity,TAC.NS,2026-07-24,570,created,2026-07-26 18:52:21.629259
TDPOWERSYS,equity,TDPOWERSYS.NS,2026-07-24,1238,created,2026-07-26 18:52:22.879921
TECHNOE,equity,TECHNOE.NS,2026-07-24,1238,created,2026-07-26 18:52:24.157601
THYROCARE,equity,THYROCARE.NS,2026-07-24,1238,created,2026-07-26 18:52:25.484694
TRENT,equity,TRENT.NS,2026-07-24,1238,created,2026-07-26 18:52:26.778770
VMARCIND,equity,VMARCIND.NS,2026-07-24,1235,created,2026-07-26 18:52:28.104022
V2RETAIL,equity,V2RETAIL.NS,2026-07-24,1238,created,2026-07-26 18:52:29.337746
VINCOFE,equity,VINCOFE.NS,2026-07-24,440,created,2026-07-26 18:52:30.548267
VMM,equity,VMM.NS,2026-07-24,399,created,2026-07-26 18:52:31.737097
YATHARTH,equity,YATHARTH.NS,2026-07-24,734,created,2026-07-26 18:52:32.947756
ZAGGLE,equity,ZAGGLE.NS,2026-07-24,702,created,2026-07-26 18:52:34.189268
ZENTEC,equity,ZENTEC.NS,2026-07-24,1238,created,2026-07-26 18:52:35.464781
ZOTA,equity,ZOTA.NS,2026-07-24,1237,created,2026-07-26 18:52:36.889865
SHADOWFAX,equity,SHADOWFAX.NS,2026-07-24,123,created,2026-07-26 18:52:38.076848
RRKABEL,equity,RRKABEL.NS,2026-07-24,702,created,2026-07-26 18:52:39.299040
YASHHV,equity,YASHHV.BO,2026-07-24,395,created,2026-07-26 18:52:40.517609
OBSCP-SM,equity,OBSCP-SM.NS,2026-07-24,1,created,2026-07-26 18:52:41.734559
NIFTY50,index,^NSEI,2026-07-27,1235,+2 rows,2026-07-27 15:14:53.724619
NIFTY500,index,^CRSLDX,2026-07-27,1229,+2 rows,2026-07-27 15:14:54.854295
CPPLUS,equity,CPPLUS.NS,2026-07-27,243,+1 rows,2026-07-27 15:14:56.078476
AVL,equity,AVL.NS,2026-07-27,426,+1 rows,2026-07-27 15:14:57.279943
AEROFLEX,equity,AEROFLEX.NS,2026-07-27,718,+1 rows,2026-07-27 15:14:58.507288
AETHER,equity,AETHER.NS,2026-07-27,1027,+1 rows,2026-07-27 15:14:59.711821
APARINDS,equity,APARINDS.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:01.135681
APOLLOHOSP,equity,APOLLOHOSP.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:02.449174
APOLLO,equity,APOLLO.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:03.727277
ASTRAMICRO,equity,ASTRAMICRO.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:05.068915
ATHERENERG,equity,ATHERENERG.NS,2026-07-27,308,+1 rows,2026-07-27 15:15:06.270773
ATLANTAELE,equity,ATLANTAELE.NS,2026-07-27,205,+1 rows,2026-07-27 15:15:07.560728
AURIONPRO,equity,AURIONPRO.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:08.875219
AXISCADES,equity,AXISCADES.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:10.121130
AZAD,equity,AZAD.NS,2026-07-27,639,+1 rows,2026-07-27 15:15:11.360279
BBOX,equity,BBOX.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:12.761575
BLACKBUCK,equity,BLACKBUCK.NS,2026-07-27,417,+1 rows,2026-07-27 15:15:13.941146
BLUESTARCO,equity,BLUESTARCO.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:15.241798
